dept,siren,raison_sociale,nature_juridique,mode_financ,nb_membres,total_pop_tot,total_pop_mun,dep_com,insee,siren_membre,nom_membre,ptot_2020,pmun_2020
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01304,210103040,Pont-d'Ain,2993,2964
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01199,210101994,Jujurieux,2200,2156
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01273,210102737,Neuville-sur-Ain,1784,1756
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01314,210103149,Priay,1763,1729
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01363,210103636,Saint-Jean-le-Vieux,1802,1723
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01303,210103032,Poncin,1738,1703
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01068,210100681,Cerdon,797,783
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01430,210104303,Varambon,598,584
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01056,210100566,Boyeux-Saint-Jérôme,351,346
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01200,210102000,Labalme,212,210
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01077,210100772,Challes-la-Montagne,197,194
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01331,210103313,Saint-Alban,182,178
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01404,210104048,Serrières-sur-Ain,136,134
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14887,14590,01,01242,210102422,Mérignat,134,130
01,200040350,CC Bugey Sud,CC,FPU,43,34817,33848,01,01034,210100343,Belley,9499,9103
01,200040350,CC Bugey Sud,CC,FPU,43,34817,33848,01,01138,210101382,Culoz,3082,3035
01,200040350,CC Bugey Sud,CC,FPU,43,34817,33848,01,01036,200086411,Valromey-sur-Séran,1329,1311
01,200040350,CC Bugey Sud,CC,FPU,43,34817,33848,01,01022,210100228,Artemare,1255,1237
01,200040350,CC Bugey Sud,CC,FPU,43,34817,33848,01,01338,200060143,Groslée-Saint-Benoit,1229,1193
01,200040350,CC Bugey Sud,CC,FPU,43,34817,33848,01,01061,210100616,Brens,1193,1166
01,200040350,CC Bugey Sud,CC,FPU,43,34817,33848,01,01098,200063121,Chazey-Bons,1148,1112
01,200040350,CC Bugey Sud,CC,FPU,43,34817,33848,01,01454,210104543,Virignin,1118,1097
